Wiek	Dochód	Stan cywilny	Poziom wykształcenia	Zatwierdzony kredyt
Młody	Wysoki	Singiel	Wysoki	Nie
Młody	Średni	Singiel	Wysoki	Tak
Młody	Średni	Singiel	Średni	Tak
Młody	Średni	Żonaty	Średni	Nie
Starszy	Wysoki	Żonaty	Niski	Nie
Starszy	Średni	Żonaty	Niski	Tak
Średni	Wysoki	Singiel	Niski	Tak
Starszy	Niski	Żonaty	Średni	Nie
Starszy	Średni	Singiel	Niski	Nie
Średni	Niski	Żonaty	Wysoki	Tak
Starszy	Wysoki	Singiel	Niski	Tak
Starszy	Średni	Singiel	Niski	Nie
Średni	Średni	Żonaty	Średni	Tak
Średni	Wysoki	Żonaty	Niski	Tak
Młody	Średni	Singiel	Niski	Tak
Średni	Średni	Żonaty	Niski	Tak
Średni	Niski	Singiel	Średni	Nie
Średni	Średni	Singiel	Niski	Nie
Młody	Niski	Singiel	Niski	Tak
Średni	Niski	Żonaty	Wysoki	Tak
Młody	Średni	Żonaty	Średni	Nie
Młody	Średni	Żonaty	Niski	Nie
Średni	Średni	Singiel	Średni	Nie
Młody	Średni	Żonaty	Niski	Nie
Średni	Wysoki	Singiel	Niski	Nie
Młody	Średni	Singiel	Wysoki	Nie
Średni	Średni	Singiel	Niski	Nie
Młody	Średni	Żonaty	Średni	Tak
Starszy	Niski	Żonaty	Średni	Tak
Starszy	Wysoki	Singiel	Niski	Nie
Młody	Wysoki	Singiel	Niski	Tak
Średni	Wysoki	Singiel	Wysoki	Tak
Młody	Wysoki	Żonaty	Średni	Nie
Młody	Średni	Żonaty	Wysoki	Tak
Młody	Średni	Singiel	Wysoki	Nie
Średni	Wysoki	Singiel	Średni	Nie
Starszy	Wysoki	Żonaty	Niski	Nie
Starszy	Wysoki	Singiel	Średni	Nie
Średni	Niski	Żonaty	Średni	Nie
Średni	Wysoki	Żonaty	Średni	Nie
Średni	Niski	Singiel	Niski	Nie
Młody	Niski	Singiel	Niski	Tak
Młody	Średni	Żonaty	Niski	Tak
Średni	Średni	Singiel	Średni	Tak
Starszy	Średni	Singiel	Niski	Nie
Średni	Wysoki	Żonaty	Niski	Tak
Młody	Wysoki	Żonaty	Wysoki	Nie
Średni	Średni	Singiel	Średni	Tak
Średni	Średni	Żonaty	Niski	Nie
Młody	Niski	Żonaty	Średni	Nie
Młody	Średni	Singiel	Średni	Tak
Starszy	Wysoki	Żonaty	Wysoki	Nie
Średni	Wysoki	Żonaty	Średni	Nie
Starszy	Niski	Singiel	Niski	Nie
Średni	Niski	Żonaty	Średni	Nie
Młody	Średni	Singiel	Wysoki	Tak
Młody	Wysoki	Żonaty	Wysoki	Nie
Młody	Średni	Singiel	Niski	Nie
Starszy	Niski	Żonaty	Średni	Tak
Starszy	Niski	Żonaty	Wysoki	Nie
Młody	Niski	Singiel	Średni	Tak
Młody	Wysoki	Singiel	Średni	Tak
Średni	Wysoki	Żonaty	Wysoki	Nie
Starszy	Niski	Singiel	Wysoki	Nie
Starszy	Wysoki	Żonaty	Wysoki	Nie
Średni	Niski	Żonaty	Niski	Tak
Starszy	Niski	Singiel	Średni	Nie
Średni	Niski	Singiel	Wysoki	Tak
Starszy	Niski	Singiel	Niski	Tak
Starszy	Niski	Singiel	Wysoki	Tak
Młody	Niski	Żonaty	Wysoki	Tak
Młody	Niski	Singiel	Średni	Nie
Średni	Niski	Singiel	Niski	Tak
Starszy	Średni	Żonaty	Niski	Nie
Młody	Średni	Żonaty	Średni	Nie
Starszy	Niski	Żonaty	Niski	Nie
Młody	Średni	Singiel	Średni	Tak
Młody	Średni	Singiel	Niski	Nie
Starszy	Niski	Singiel	Niski	Nie
Młody	Wysoki	Singiel	Średni	Nie
Młody	Średni	Żonaty	Średni	Nie
Średni	Niski	Singiel	Wysoki	Nie
Młody	Średni	Żonaty	Wysoki	Tak
Średni	Wysoki	Singiel	Niski	Tak
Starszy	Wysoki	Singiel	Wysoki	Tak
Starszy	Średni	Żonaty	Średni	Tak
Starszy	Wysoki	Singiel	Niski	Tak
Starszy	Wysoki	Singiel	Niski	Nie
Starszy	Średni	Żonaty	Średni	Tak
Młody	Niski	Singiel	Niski	Nie
Średni	Niski	Żonaty	Niski	Tak
Młody	Niski	Singiel	Niski	Tak
Starszy	Niski	Singiel	Średni	Tak
Młody	Niski	Żonaty	Wysoki	Nie
Młody	Niski	Singiel	Wysoki	Nie
Średni	Wysoki	Singiel	Niski	Nie
Starszy	Wysoki	Żonaty	Niski	Tak
Starszy	Wysoki	Singiel	Wysoki	Nie
Młody	Wysoki	Żonaty	Średni	Nie
Średni	Wysoki	Singiel	Wysoki	Tak
