Województwo	Użytki rolne	Grunty leśne	Przemysł per capita	Budowa per capita	Handel per capita
Dolnośląskie	918.2	612.8	66355	6889	22390
Kujawsko-pomorskie	1057.8	431.4	40225	6355	14955
Lubelskie	1383.5	596.7	25039	5382	15818
Lubuskie	444.5	711.1	48185	5262	18427
Łódzkie	982.1	397.1	45487	5341	19767
Małopolskie	557.2	438.8	42745	7304	21646
Mazowieckie	1985.2	844.6	73844	7979	49941
Opolskie	518.8	257.4	43459	5826	12006
Podkarpackie	573.6	692.2	31897	5012	12989
Podlaskie	1099.7	635.3	33115	6372	16710
Pomorskie	773.4	685.2	52255	8478	22232
Śląskie	390.5	406.5	63759	5701	17500
Świętokrzyskie	499.7	338.3	32529	4717	12643
Warmińsko-mazurskie	1073.5	787.4	29676	4642	12543
Wielkopolskie	1777.5	788.6	63979	7097	59648
Zachodniopomorskie	928.5	842.9	35104	7313	17342
