Month	Monthly production
01.07.1991	158
01.08.1991	143
01.09.1991	133
01.10.1991	188
01.11.1991	191
01.12.1991	195
01.01.1992	142
01.02.1992	127
01.03.1992	157
01.04.1992	146
01.05.1992	122
01.06.1992	125
01.07.1992	141
01.08.1992	133
01.09.1992	135
01.10.1992	161
01.11.1992	171
01.12.1992	185
01.01.1993	136
01.02.1993	142
01.03.1993	148
01.04.1993	158
01.05.1993	133
01.06.1993	123
01.07.1993	122
01.08.1993	135
01.09.1993	139
01.10.1993	154
01.11.1993	175
01.12.1993	186
01.01.1994	144
01.02.1994	127
01.03.1994	160
01.04.1994	119
01.05.1994	126
01.06.1994	120
01.07.1994	122
01.08.1994	138
01.09.1994	140
01.10.1994	157
01.11.1994	191
01.12.1994	183
01.01.1995	135
01.02.1995	133
01.03.1995	150
01.04.1995	124
01.05.1995	149
01.06.1995	128
01.07.1995	116
01.08.1995	148
